year,species,md_pounds,va_pounds,md_value,va_value,md_number,va_number,md_estimate,va_estimate,est_number_dnr
1929,Crab,28099678,0,0,0,0,0,0,0,0
1930,Crab,36938783,0,0,0,0,0,0,0,0
1931,Crab,33841160,0,0,0,0,0,0,0,0
1932,Crab,32939431,0,0,0,0,0,0,0,0
1933,Crab,30097129,0,0,0,0,0,0,0,0
1934,Crab,15909700,0,0,0,0,0,0,0,0
1935,Crab,19821400,0,0,0,0,0,0,0,0
1936,Crab,15563100,0,0,0,0,0,0,0,0
1937,Crab,18712400,0,0,0,0,0,0,0,0
1938,Crab,23597500,0,0,0,0,0,0,0,0
1939,Crab,27296300,0,0,0,0,0,0,0,0
1940,Crab,16822100,0,0,0,0,0,0,0,0
1941,Crab,12811700,0,0,0,0,0,0,0,0
1942,Crab,15693700,0,0,0,0,0,0,0,0
1943,Crab,0,0,0,0,0,0,0,0,0
1944,Crab,18267300,0,0,0,0,0,0,0,0
1945,Crab,20170500,0,0,0,0,0,0,0,0
1946,Crab,28031700,0,0,0,0,0,0,0,0
1947,Crab,28578500,0,0,0,0,0,0,0,0
1948,Crab,22482900,0,0,0,0,0,0,0,0
1949,Crab,24463300,0,0,0,0,0,0,0,0
1950,Crab,30420400,49626000,1218061,2333435,0,0,0,0,0
1951,Crab,29198000,41579000,1263629,2238111,0,0,0,0,0
1952,Crab,29086800,35744600,1338089,1702447,0,0,0,0,0
1953,Crab,28273800,34910500,1349875,2008074,0,0,0,0,0
1954,Crab,20182200,34561200,985425,1638233,0,0,0,0,0
1955,Crab,16432500,28695100,1086676,1751276,0,0,0,0,0
1956,Crab,23036700,27562100,1850326,2083059,0,0,0,0,0
1957,Crab,31838200,26513100,2153473,2077019,0,0,0,0,0
1958,Crab,30360700,19101100,2018370,1292700,0,0,0,0,0
1959,Crab,23160100,22388900,2097074,1886379,0,0,0,0,0
1960,Crab,29855900,40860200,2152582,2443834,0,0,0,0,0
1961,Crab,29350300,45544400,2079993,2366669,0,0,0,0,0
1962,Crab,31553100,55018300,2548927,2951404,0,0,0,0,0
1963,Crab,19042000,47087300,1903580,2874335,0,0,0,0,0
1964,Crab,26038100,52569700,2871810,3837192,0,0,0,0,0
1965,Crab,34692100,51642000,3434047,4168455,0,0,0,0,0
1966,Crab,32256900,64759200,2939325,4016308,0,0,0,0,0
1967,Crab,26774200,56040500,2552127,3406502,0,0,0,0,0
1968,Crab,10346600,45646600,1544905,5241139,0,0,0,0,0
1969,Crab,25264600,35610700,3129619,3883102,0,0,0,0,0
1970,Crab,26515200,43326000,2756539,2725964,0,0,0,0,0
1971,Crab,27605100,48500300,3201463,4022276,0,0,0,0,0
1972,Crab,25056500,49411800,3114209,4334927,0,0,0,0,0
1973,Crab,21052100,37729100,3549190,4559916,0,0,0,0,0
1974,Crab,26481900,41663300,5084689,4656344,0,0,0,0,0
1975,Crab,25917900,35573300,5144314,5401390,0,0,0,0,0
1976,Crab,20903200,26522000,5661434,5647382,0,0,0,0,0
1977,Crab,21322900,37873000,6303241,7310129,0,0,0,0,0
1978,Crab,17459000,36659900,5239397,7449440,0,0,0,0,0
1979,Crab,25782000,40886400,6795155,7635348,0,0,0,0,0
1980,Crab,26451600,38324500,7387851,7461626,0,0,0,0,0
1981,Crab,59695200,42626800,18393920,8855496,0,0,0,0,0
1982,Crab,43662700,44847000,15850708,9960359,0,0,0,0,0
1983,Crab,52470100,46844200,22566324,11966014,0,0,0,0,0
1984,Crab,48770500,50434200,20077068,12242908,0,0,0,0,0
1985,Crab,58429700,41905380,24012007,9653127,0,0,0,0,0
1986,Crab,50212200,38276200,21908389,9893085,0,0,0,0,0
1987,Crab,46138500,32560600,24855385,9797414,0,0,0,0,0
1988,Crab,45365300,37353200,22506270,13382747,0,0,0,0,0
1989,Crab,46665600,44554000,26861050,14861850,0,0,0,0,0
1990,Crab,52380980,50118525,25989021,17437533,0,0,0,0,0
1991,Crab,51588777,44923854,23244835,11991038,0,0,0,0,0
1992,Crab,30209542,23828289,17605864,10453273,0,0,0,0,0
1993,Crab,61651559,53154264,37413543,34575035,0,0,0,0,0
1994,Crab,46608174,35424970,42072913,22812645,0,0,0,0,0
1995,Crab,44270267,32569003,41789776,24586813,0,0,0,0,0
1996,Crab,38957512,34216731,33805503,23419436,0,0,0,0,0
1997,Crab,45575161,39064541,43579383,28404179,0,0,0,0,0
1998,Crab,30870447,34599284,34269494,27195486,0,0,0,0,0
1999,Crab,35371030,31437077,38858674,26525106,0,0,0,0,0
2000,Crab,22847019,28846173,30842600,24114523,0,0,0,0,0
2001,Crab,25933144,25057395,34680693,25600226,0,0,0,0,0
2002,Crab,26480553,27300529,30338384,21083127,0,0,0,0,0
2003,Crab,27816215,21464379,34532409,19129687,0,0,0,0,0
2004,Crab,33826132,27641876,39104452,21822256,0,0,0,0,0
2005,Crab,34914418,26063743,39961549,20578434,0,0,0,0,0
2006,Crab,29445503,22707953,31140947,14057159,0,0,0,0,0
2007,Crab,30777751,25141421,41689710,15792741,0,0,0,0,0
2008,Crab,34871783,23243440,50115295,18012663,0,0,0,0,0
2009,Crab,38800803,32756177,52049315,21168567,0,0,0,0,0
2010,Crab,66261697,38489678,79054861,29132932,0,0,0,0,0
2011,Crab,51162684,39656376,60325851,26274009,0,0,0,0,0
2012,Crab,43736813,33143504,60466893,24561327,0,0,0,0,0
2013,Crab,24179216,24258082,49955586,23991248,0,0,0,0,0
1929,Oyster,17743034,0,0,0,0,0,0,0,0
1930,Oyster,17105969,0,0,0,0,0,0,0,0
1931,Oyster,11674450,0,0,0,0,0,0,0,0
1932,Oyster,12985364,0,0,0,0,0,0,0,0
1933,Oyster,11684784,0,0,0,0,0,0,0,0
1934,Oyster,13917300,0,0,0,0,0,0,0,0
1935,Oyster,15583800,0,0,0,0,0,0,0,0
1936,Oyster,16060000,0,0,0,0,0,0,0,0
1937,Oyster,20729700,0,0,0,0,0,0,0,0
1938,Oyster,19363000,0,0,0,0,0,0,0,0
1939,Oyster,20342300,0,0,0,0,0,0,0,0
1940,Oyster,19743200,0,0,0,0,0,0,0,0
1941,Oyster,18816400,0,0,0,0,0,0,0,0
1942,Oyster,13767700,0,0,0,0,0,0,0,0
1943,Oyster,0,0,0,0,0,0,0,0,0
1944,Oyster,14126600,0,0,0,0,0,0,0,0
1945,Oyster,15033500,0,0,0,0,0,0,0,0
1946,Oyster,13590300,0,0,0,0,0,0,0,0
1947,Oyster,13076500,0,0,0,0,0,0,0,0
1948,Oyster,13285100,0,0,0,0,0,0,0,0
1949,Oyster,13717720,0,0,0,0,0,0,0,0
1950,Oyster,14406000,15547500,5520892,5573880,0,0,0,0,0
1951,Oyster,14521900,15076300,6692360,5276511,0,0,0,0,0
1952,Oyster,16287600,18130000,7165000,7711975,0,0,0,0,0
1953,Oyster,17433900,19511000,7074450,7652215,0,0,0,0,0
1954,Oyster,20363200,21224600,9019500,9840750,0,0,0,0,0
1955,Oyster,17271900,21955600,7786400,10015845,0,0,0,0,0
1956,Oyster,15843900,21220200,8791685,9900857,0,0,0,0,0
1957,Oyster,14732400,20089500,7601768,9846869,0,0,0,0,0
1958,Oyster,12026700,25503700,6667542,14126422,0,0,0,0,0
1959,Oyster,11966200,21354900,7234124,13374298,0,0,0,0,0
1960,Oyster,11769700,15340400,8426224,10882946,0,0,0,0,0
1961,Oyster,10336600,17163500,7802392,13932107,0,0,0,0,0
1962,Oyster,8137500,11800000,6182332,9773869,0,0,0,0,0
1963,Oyster,7756400,10517900,5618082,8110189,0,0,0,0,0
1964,Oyster,7947700,14150200,5460637,10345064,0,0,0,0,0
1965,Oyster,8620100,12568400,6405280,10291253,0,0,0,0,0
1966,Oyster,11788700,9442600,8048537,6493982,0,0,0,0,0
1967,Oyster,16729800,9068000,11362836,5959026,0,0,0,0,0
1968,Oyster,14873800,7804700,9990452,5268749,0,0,0,0,0
1969,Oyster,14721200,7436600,9010566,4985967,0,0,0,0,0
1970,Oyster,16625200,8043300,9653498,5426940,0,0,0,0,0
1971,Oyster,17116900,8441500,10535549,5509965,0,0,0,0,0
1972,Oyster,19052800,5014400,12075629,3240723,0,0,0,0,0
1973,Oyster,20422200,4979500,13587262,3178554,0,0,0,0,0
1974,Oyster,18284100,6737900,12707575,4844038,0,0,0,0,0
1975,Oyster,16402300,6237200,13126669,4999122,0,0,0,0,0
1976,Oyster,14880300,6084100,15870395,5877220,0,0,0,0,0
1977,Oyster,13028200,4985500,14352138,5580638,0,0,0,0,0
1978,Oyster,14372900,8087300,15833745,9031615,0,0,0,0,0
1979,Oyster,13489000,8196500,17120385,9862703,0,0,0,0,0
1980,Oyster,14944600,7846500,19832274,9490846,0,0,0,0,0
1981,Oyster,15721600,5884600,21701605,7595270,0,0,0,0,0
1982,Oyster,12275300,5249400,18320171,7448155,0,0,0,0,0
1983,Oyster,7445400,4192100,13951428,5882175,0,0,0,0,0
1984,Oyster,8042500,4321500,18850196,7350928,0,0,0,0,0
1985,Oyster,8597800,4523718,15572626,7224272,0,0,0,0,0
1986,Oyster,7961800,5780239,18264794,10857814,0,0,0,0,0
1987,Oyster,3822000,4825600,11817109,11837160,0,0,0,0,0
1988,Oyster,2408800,2927000,7270031,7734980,0,0,0,0,0
1989,Oyster,2328500,1974600,7888844,6018810,0,0,0,0,0
1990,Oyster,2882325,1632788,10747729,5171581,0,0,0,0,0
1991,Oyster,1677500,1703660,5282666,4881402,0,0,0,0,0
1992,Oyster,1468451,726017,4712640,2044082,0,0,0,0,0
1993,Oyster,164435,406958,537019,1114641,0,0,0,0,0
1994,Oyster,817829,300581,2647295,812457,23900000,27690000,457000000,1400000000,538261167
1995,Oyster,1197759,398220,3175068,1089629,49800000,8850000,499000000,1930000000,505082090
1996,Oyster,888863,159606,2852786,462041,60200000,11670000,486000000,1780000000,514216955
1997,Oyster,1429409,303359,4507620,959368,53100000,10130000,505000000,1160000000,495973236
1998,Oyster,2460954,222775,7635153,657650,85300000,24110000,504000000,1610000000,634776719
1999,Oyster,2439995,346234,7111469,966964,128000000,11310000,651000000,2000000000,585660398
2000,Oyster,2368236,163066,7192089,478967,97600000,10600912,553000000,1820000000,528017593
2001,Oyster,1274210,208620,3789301,570656,104000000,21420000,526000000,4190000000,430301043
2002,Oyster,566990,97192,2172418,316283,44000000,9308000,205000000,2370000000,156968148
2003,Oyster,158873,77639,706256,263002,0,46770000,0,2310000000,286318010
2004,Oyster,42791,44442,181003,196125,0,0,0,0,227104473
2005,Oyster,737853,0,3434963,0,0,49500000,0,2140000000,240725629
2006,Oyster,273894,166,1237726,2760,0,0,0,1820000000,200958393
2007,Oyster,317078,1867097,3146107,2774831,0,0,0,2130000000,0
2008,Oyster,249447,775683,2277039,3100661,0,64200000,0,6270000000,0
2009,Oyster,497980,808683,3849000,3745295,0,0,0,0,0
2010,Oyster,431856,1186509,4384918,5202282,0,0,0,0,0
2011,Oyster,356001,1521637,3690887,6832055,0,0,0,0,0
2012,Oyster,618008,1962746,5709679,11949279,0,0,0,0,0
2013,Oyster,787889,3247878,7356746,25318418,0,0,0,0,0
